Run,Open (µs),Write (µs),Read (µs),Close (µs)
623,1360,233.1,25.8,175.8
624,1481.1,399.2,138.2,298.7
625,1020.8,322.5,50.5,527
626,1663.7,233.8,26.8,210.8
627,540,171,21.2,304.3
628,1740.5,448.7,40.6,315.5
629,860.4,214.1,121.8,450.1
630,1603.6,308,56.3,242.9
631,1388.1,322.4,35.3,286.2
632,1574.2,274.6,132.8,341.7
633,1147.3,257.2,36.3,383.5
634,1283.6,223.6,28.1,161.9
635,1169.8,836.7,25.9,444.2
636,1147.9,328,36,228
637,1140.4,291.8,39.5,236.1
638,1037.4,274.1,38.3,342.1
639,1220.2,429.2,39.2,228.9
640,1498.1,200.2,26.7,153
641,1286.2,647.6,188.6,453.1
642,992.5,338.3,38.8,340
643,1350.4,328.3,131.8,291.2
644,944.5,359,25.5,157.1
645,741.3,265.9,32.1,226.4
646,1450.7,278.5,33.5,337.9
647,1185.7,277.7,30.3,190.5
648,700.6,445.3,44.7,255.7
649,1273.8,290.3,37.4,341.3
650,1006.2,353.4,28.5,168.2
651,1334.2,544.6,37.8,438.2
652,1655.2,421.7,40.6,287.1
653,867.6,670.1,74.5,315.9
654,1409.1,323.1,34.8,244.5
655,1314.9,300.9,40.5,253.1
656,1131,363.7,37.4,255.7
657,1688.4,345.3,41.6,255.8
658,1291.9,287.4,47.3,251.7
659,2084,363.2,40.5,287
660,1262.8,524.8,43.2,515.9
661,1299.9,341.1,25.2,466.4
662,1871.3,383.7,41.2,311.3
663,1251.5,285.9,35.7,222.5
664,2643.7,360.2,29.6,184.3
665,1479.5,329.1,39.2,332.9
666,1614.9,361.5,38.9,237.7
667,1053.3,317.8,35.4,221.4
668,1197.5,311,37.2,245.8
669,1976.8,373.3,34,212.6
670,1483.8,349.7,42.7,346.7
671,1454.1,307.7,37,243.7
672,1280.2,301.7,37.1,313.3
673,1085.6,262.3,34.1,235.6
674,1002.2,298.9,34.8,238.4
675,2225.6,492.9,263.2,426.5
676,1099.6,339.6,36.4,234.6
677,1589,316.2,41.1,235.2
678,1498.9,288.4,36.4,323.7
679,1460.3,301.4,37.3,258.4
680,2030.3,515.7,49.7,502.5
681,1241.1,455.2,36.4,257.8
682,1107.6,313,37.4,228.8
683,1269.3,313.1,37.1,383.8
684,1215.8,262.9,35.1,227.8
685,1214.6,378.1,47,255.5
686,809.9,287.9,28,164.9
687,828.6,326.5,37.9,182.3
688,1213.1,322.5,39.7,335.5
689,1299.9,301.6,41.6,278.8
690,1014.1,265,34.6,229
691,1110.3,340.9,35.2,216.3
692,948.1,329.7,35.4,532.8
693,1636.4,334.7,34.7,244.5
694,751,309.6,37.3,234.4
695,1609.2,304.3,38.5,223.1
696,1139.9,301,36.6,225.5
697,1334.8,359.8,37.3,232.7
698,1219.3,260,27.4,130.9
699,907.8,336.3,40.4,219.5
700,1811.9,252.1,28.9,176.1
701,705.1,341.7,40.1,338.6
702,1587.7,338.2,28.7,239.9
703,1357.6,311.3,37.5,217.9
704,782.1,522.6,53.7,266
705,1027.7,1229.6,115.6,493.5
706,859.2,351.5,42,282.8
707,1533.2,447.2,49.4,1120.8
708,1265,332.9,39.1,251.6
709,1184.6,329.2,55.5,579.5
710,983.4,220.2,29.4,146.5
711,1517.2,477.3,42.3,322
712,1394,236.3,29.5,172.4
713,2190.9,580.9,133.3,464.9
714,1129.1,279.5,28.7,391.4
715,1294.5,229.7,27.3,138.6
716,1576.3,260.3,30.6,179.7
717,1854.8,292,30.5,440.1
718,1324.2,376.1,39.4,438.5
719,1146.7,192.1,73.6,289.6
720,1681.9,309.2,42,262.9
721,1526.5,317.6,38.7,354.2
722,1269.1,303,43,239.9
723,1421.7,291.7,84.3,253.3
724,979.7,386.9,37.1,320.1
725,1276,366.6,34.6,365.3
726,710.7,175,20.7,305.3
727,1296.8,304.9,39.8,285.8
728,1193.7,286.5,39.1,238.8
729,1121,316.8,36.7,229
730,1194.3,301.1,36.9,254.6
731,1177,320.3,37.9,239.6
732,1227.4,510.7,42.8,311
733,1586.4,241.9,30.5,182.2
734,1054.7,378.2,35.2,253.2
735,982.2,356.2,36,323.5
736,1133.6,201.1,23.7,162.1
737,609.3,194.5,21.8,395.4
738,1002.9,189.8,24.6,377.9
739,993.6,416.8,40.5,379.7
740,1372.6,268.6,33.2,212.4
741,1643.2,280.2,34.3,239.4
742,1561.9,269.5,34,270.8
743,1312.3,325.9,36.7,372.5
744,1289.5,297.7,36.4,230.3
745,1626.3,616.4,50.6,272.7
746,953.2,266.3,33.2,215.6
747,1376.3,309.5,36.6,283.9
748,1150.3,267.4,40.2,227.2
749,549.5,314.4,37.8,239.7
750,1515.8,392.3,36,254
751,1545.3,348.3,77.5,296.2
752,1283.2,322,36.6,241.9
753,1015.4,242.9,31.2,449.5
754,1419.4,269,35.7,211.9
755,1370.5,328.3,36.7,262.4
756,1235.7,393.9,35.5,230.4
757,1163.3,325.5,122.2,232.9
758,917.5,270.4,32.4,204.7
759,1441,280.8,32.1,213.4
760,1049.4,304.7,34.2,224.3
761,1239.3,264.9,32.2,534.7
762,1668.8,307.9,35.9,229.7
763,2156.2,249.7,48.1,279.7
764,2189.8,276,35,230
765,1241.5,324.4,86.6,174.8
766,1509.8,290.1,242.5,261.5
767,1570,364.6,45.2,216.1
768,1496.4,336.5,39,348.4
769,1777.3,433.8,36.7,308.9
770,1353.2,300.1,36.9,245.7
771,1331.7,190.7,152.3,239.6
772,1193.2,522.5,23.3,324.5
