Run,Open (µs),Write (µs),Read (µs),Close (µs)
407,1276.400,297.600,31.000,259.200
408,1058.300,291.500,28.900,217.000
409,1114.500,203.800,81.500,114.300
410,392.500,499.900,19.000,175.900
411,1292.000,403.200,199.000,155.000
412,596.400,129.100,14.300,111.000
413,1723.100,154.500,61.100,374.000
414,1631.900,159.100,16.600,111.900
415,975.100,377.700,18.700,174.400
416,1031.400,143.800,14.700,85.100
417,434.700,121.400,14.100,310.900
418,1126.500,266.100,27.100,218.200
419,561.500,604.500,34.000,493.900
420,762.700,376.300,35.200,305.300
421,908.500,177.900,109.100,245.900
422,547.200,126.700,14.100,97.900
423,949.200,135.300,14.500,81.200
424,623.900,300.700,33.500,187.100
425,1180.300,171.600,15.000,104.200
426,994.500,300.300,16.700,184.700
427,1205.400,487.100,34.700,237.500
428,1116.200,182.400,15.600,116.400
429,626.400,187.700,111.700,253.000
430,1366.900,254.200,29.500,257.200
431,629.800,310.700,32.600,239.900
432,470.900,146.800,15.400,102.100
433,912.400,150.400,14.800,237.700
434,558.800,133.100,14.300,118.400
435,798.800,277.200,26.700,228.900
436,357.600,124.900,14.500,99.600
437,359.200,169.700,110.500,302.600
438,768.300,247.100,29.100,212.300
439,1114.100,142.800,15.400,108.100
440,1115.800,216.700,15.000,141.300
441,1028.100,135.400,19.800,114.400
442,391.100,269.900,29.100,230.800
443,407.600,182.300,145.200,242.500
444,457.600,127.800,14.400,106.600
445,647.400,164.300,14.600,120.400
446,636.200,135.700,13.800,98.000
447,960.800,408.900,133.300,162.800
448,770.400,297.400,15.100,127.900
449,429.800,140.600,13.900,97.900
450,879.400,287.500,27.400,206.200
451,1379.300,343.100,21.600,158.000
452,998.600,160.700,16.100,104.200
453,1250.900,273.600,33.000,212.400
454,1266.900,309.100,30.300,220.900
455,1005.100,582.000,31.800,317.000
456,1583.000,553.600,38.000,386.900
457,1285.400,549.300,31.000,311.700
458,1201.200,460.500,30.100,267.300
459,880.900,349.700,34.800,251.300
460,464.400,205.500,108.200,273.600
461,991.400,211.900,80.300,272.300
462,1143.700,347.200,184.200,248.800
463,1095.000,298.100,29.100,219.300
464,1244.600,280.800,29.600,212.800
465,1776.400,551.000,43.700,311.100
466,1162.400,247.300,32.300,232.100
467,1102.900,289.200,40.100,260.300
468,1109.000,302.400,101.800,263.600
469,1645.700,242.400,17.800,131.000
470,658.500,463.200,23.600,158.300
471,642.000,128.600,14.100,100.300
472,605.800,125.800,13.700,332.400
473,1100.400,545.100,35.500,249.700
474,1084.500,142.300,131.500,114.500
475,732.300,317.300,32.100,267.100
476,587.000,276.000,28.300,231.800
477,1367.700,197.600,20.000,136.500
478,601.900,134.600,15.600,94.800
479,513.100,157.400,15.100,115.400
480,476.600,126.300,13.900,187.400
481,832.500,347.600,49.200,118.800
482,442.800,186.900,152.800,291.100
483,489.900,124.600,15.000,102.100
484,989.000,145.000,15.600,419.900
485,1055.200,145.800,13.100,223.800
486,590.000,373.300,39.000,275.600
487,935.100,187.900,149.400,221.000
488,396.400,118.100,14.500,353.100
489,876.200,278.100,134.100,337.200
490,1293.600,158.700,14.700,117.400
491,692.600,335.900,26.500,214.200
492,1193.900,211.300,95.200,286.500
493,1154.000,254.400,55.900,174.600
494,500.700,219.300,168.600,282.500
495,1117.600,324.400,30.000,233.500
496,712.700,270.800,22.200,395.900
497,1451.900,231.800,151.200,220.700
498,591.300,204.600,112.800,261.300
499,592.600,128.600,15.800,228.300
500,716.600,236.600,18.300,118.400
