Run,Open (µs),Write (µs),Read (µs),Close (µs)
308,421.300,412.400,28.300,207.100
309,547.200,162.500,14.200,118.400
310,506.400,120.500,185.200,245.700
311,614.800,139.000,13.900,103.700
312,1244.400,186.100,60.600,108.200
313,512.300,162.800,14.100,100.300
314,984.300,311.200,14.100,95.100
315,464.400,123.700,14.000,139.200
316,1317.000,140.200,15.400,141.800
317,399.900,114.400,12.200,151.500
318,663.500,126.500,12.400,160.100
319,452.900,120.400,231.900,262.400
320,1019.600,228.200,132.900,104.300
321,1515.700,342.900,23.700,135.300
322,1097.000,321.100,150.100,123.700
323,624.200,712.500,38.200,234.000
324,1504.000,480.900,39.400,314.300
325,1409.500,251.400,39.100,177.400
326,1211.600,209.300,16.200,108.300
327,621.400,469.400,18.600,116.000
328,1123.300,186.600,87.800,118.100
329,489.100,168.400,32.800,209.800
330,1316.500,135.800,14.200,189.800
331,626.300,118.400,15.000,237.200
332,1561.300,194.000,16.000,110.300
333,656.700,405.200,29.100,356.000
334,558.600,125.700,14.600,95.300
335,852.300,308.300,110.000,223.600
336,800.300,163.500,182.300,106.700
337,434.100,114.900,14.900,98.400
338,483.900,294.000,76.500,101.000
339,569.800,119.200,14.900,299.800
340,648.700,125.000,14.400,98.100
341,484.800,166.900,13.900,105.300
342,894.700,360.700,76.100,151.800
343,1433.600,654.600,20.500,151.300
344,995.700,253.600,66.700,104.900
345,1215.900,129.000,15.200,167.100
346,661.000,122.700,14.600,102.100
347,503.100,279.100,27.800,236.800
348,375.500,418.900,16.000,360.300
349,1332.700,305.700,76.400,109.500
350,1198.500,130.600,15.400,107.200
351,731.900,132.900,14.600,157.200
352,647.100,123.200,15.700,140.500
353,846.100,313.600,72.600,97.200
354,618.400,222.300,79.900,111.900
355,659.500,120.800,13.500,90.700
356,489.900,114.900,12.800,548.200
357,1544.900,438.700,34.500,256.700
358,961.700,126.300,14.200,334.800
359,1003.000,142.900,13.800,102.800
360,907.400,413.100,37.300,290.900
361,580.000,151.100,14.800,75.000
362,478.500,114.000,13.000,102.200
363,1021.700,244.900,26.400,208.500
364,751.600,148.000,15.800,100.700
365,406.500,108.200,13.500,95.300
366,367.800,114.300,13.100,362.900
367,393.300,449.900,135.600,147.900
368,1696.400,272.700,56.200,118.400
369,1385.500,160.400,14.200,172.200
370,1590.500,592.300,17.200,176.800
371,621.200,159.500,14.900,173.800
372,424.800,341.100,141.400,104.400
373,939.400,121.100,14.700,138.000
374,536.300,111.800,12.600,92.800
375,560.400,174.900,14.900,153.600
376,421.700,154.400,70.400,96.100
377,878.300,154.300,166.200,107.200
378,1120.400,142.900,15.000,105.300
379,962.100,142.500,15.000,200.400
380,468.800,158.100,16.400,130.600
381,648.300,137.100,13.700,179.400
382,638.600,350.100,204.800,241.300
383,703.100,357.500,95.700,133.500
384,596.400,139.700,15.000,141.700
385,481.000,113.300,14.200,88.500
386,412.600,111.600,40.000,151.300
387,989.400,139.000,14.400,99.000
388,1051.500,351.300,29.200,296.500
389,559.500,137.000,14.100,142.700
390,377.800,113.000,16.000,159.800
391,985.600,141.900,15.900,154.300
392,569.300,135.800,175.200,292.200
393,377.400,113.800,128.400,207.300
394,944.900,113.200,14.400,107.200
395,1049.000,126.400,14.600,102.500
396,1055.500,423.400,36.900,209.900
397,1125.200,126.600,13.800,95.500
398,1056.700,121.800,14.200,81.800
399,691.200,302.900,127.500,250.200
400,609.500,112.100,13.900,134.400
401,824.200,233.100,83.700,122.400
402,488.500,440.000,29.200,210.600
403,1000.100,128.900,14.900,111.700
404,843.400,117.300,14.200,91.500
405,758.300,133.300,13.600,102.000
406,393.100,212.600,176.300,258.400
407,607.300,348.200,123.300,142.000
408,1424.200,206.200,336.800,267.900
409,1082.100,140.500,16.300,97.800
410,1337.900,543.500,122.100,280.200
411,1395.900,195.600,129.200,116.200
412,619.600,116.600,14.300,132.600
413,1204.200,149.300,13.900,145.300
414,608.400,298.800,29.000,218.500
415,515.300,400.900,14.900,99.600
416,1782.200,368.300,38.500,265.400
417,737.400,157.900,14.600,129.700
